Name,Announced,Groundbreaking,Dedication,Sealing,SQFT
Stockholm Sweden Temple,1-Apr-1981,17-Mar-1984,2-Jul-1985,3,16366
Suva Fiji Temple,7-May-1998,8-May-1999,18-Jun-2000,2,12755
Sydney Australia Temple,2-Apr-1980,13-Aug-1982,20-Sep-1984,3,30677
Taipei Taiwan Temple,31-Mar-1982,27-Aug-1982,17-Nov-1984,3,9945
Tampico Mexico Temple,8-Jul-1998,28-Nov-1998,20-May-2000,2,10700
Tegucigalpa Honduras Temple,9-Jun-2006,12-Sep-2009,17-Mar-2013,2,28254
The Gila Valley Arizona Temple,26-Apr-2008,14-Feb-2009,23-May-2010,2,18561
The Hague Netherlands Temple,16-Aug-1999,26-Aug-2000,8-Sep-2002,2,10500
Tijuana Mexico Temple,2-Oct-2010,18-Aug-2012,13-Dec-2015,2,33367
Tokyo Japan Temple,9-Aug-1975,10-Apr-1978,27-Oct-1980,5,52590
Toronto Ontario Temple,7-Apr-1984,10-Oct-1987,25-Aug-1990,6,57982
Trujillo Peru Temple,13-Dec-2008,14-Sep-2011,21-Jun-2015,2,28200
Tucson Arizona Temple,6-Oct-2012,17-Oct-2015,13-Aug-2017,2,38216
Tuxtla Gutierrez Mexico Temple,25-Feb-1999,20-Mar-1999,12-Mar-2000,2,10700
Twin Falls Idaho Temple,2-Oct-2004,15-Apr-2006,24-Aug-2008,3,31245
Vancouver British Columbia Temple,25-May-2006,4-Aug-2007,2-May-2010,2,28165
Veracruz Mexico Temple,14-Apr-1999,29-May-1999,9-Jul-2000,2,10700
Vernal Utah Temple,13-Feb-1994,13-May-1995,2-Nov-1997,3,38771
Villahermosa Mexico Temple,30-Oct-1998,9-Jan-1999,21-May-2000,2,10700
Washington D.C. Temple,15-Nov-1968,7-Dec-1968,19-Nov-1974,10,156558
Winnipeg Manitoba Temple,2-Apr-2011,3-Dec-2016,31-Oct-2021,1,16100
Winter Quarters Nebraska Temple,14-Jun-1999,28-Nov-1999,22-Apr-2001,2,16000
Yigo Guam Temple,7-Oct-2018,4-May-2019,22-May-2022,1,6861
